iterations;genome;fitness
1;1;0.286596014454196
1;2;0.2631898450602315
1;3;0.286596014454196
1;4;0.27902025687843846
1;5;0.27261000046818207
1;6;0.25293343480382124
1;7;0.2950137683680671
1;8;0.27261000046818207
1;9;0.2631898450602315
1;10;0.27261000046818207
1;11;0.28626676813715457
1;12;0.26711549497367654
1;13;0.2961251063583841
1;14;0.257695339565726
1;15;0.257695339565726
1;16;0.27902025687843846
1;17;0.2696001014704879
1;18;0.2956869235451051
1;19;0.31422465386969634
1;20;0.31168043503473375
1;21;0.2696001014704879
1;22;0.30873014837519086
1;23;0.286596014454196
1;24;0.27902025687843846
1;25;0.26711549497367654
2;1;0.25293343480382124
2;2;0.257695339565726
2;3;0.257695339565726
2;4;0.2631898450602315
2;5;0.2631898450602315
2;6;0.3206349102799527
2;7;0.27261000046818207
2;8;0.286596014454196
2;9;0.2956869235451051
2;10;0.27261000046818207
2;11;0.27717585904624553
2;12;0.31422465386969634
2;13;0.31168043503473375
2;14;0.27902025687843846
2;15;0.27902025687843846
2;16;0.27261000046818207
2;17;0.27261000046818207
2;18;0.2956869235451051
2;19;0.2961251063583841
2;20;0.30396824361328606
2;21;0.31422465386969634
2;22;0.31168043503473375
2;23;0.27902025687843846
2;24;0.3736530863478804
2;25;0.286596014454196
3;1;0.25293343480382124
3;2;0.257695339565726
3;3;0.257695339565726
3;4;0.2631898450602315
3;5;0.2631898450602315
3;6;0.27902025687843846
3;7;0.31422465386969634
3;8;0.31422465386969634
3;9;0.2961251063583841
3;10;0.33730157694661944
3;11;0.27902025687843846
3;12;0.30873014837519086
3;13;0.2886035119578107
3;14;0.4080852389706775
3;15;0.3025895259438247
3;16;0.42207125295669146
3;17;0.2956869235451051
3;18;0.3736530863478804
3;19;0.27717585904624553
3;20;0.286596014454196
3;21;0.3025895259438247
3;22;0.4311621620476006
3;23;0.2950137683680671
3;24;0.31422465386969634
3;25;0.3645621772569714
4;1;0.25293343480382124
4;2;0.257695339565726
4;3;0.257695339565726
4;4;0.2631898450602315
4;5;0.2631898450602315
4;6;0.3025895259438247
4;7;0.3025895259438247
4;8;0.286596014454196
4;9;0.3206349102799527
4;10;0.35698641968121375
4;11;0.35698641968121375
4;12;0.3282106678557103
4;13;0.3025895259438247
4;14;0.30873014837519086
4;15;0.4311621620476006
4;16;0.2886035119578107
4;17;0.30397433415425684
4;18;0.3736530863478804
4;19;0.3645621772569714
4;20;0.3025895259438247
4;21;0.4144954953809339
4;22;0.42207125295669146
4;23;0.35698641968121375
4;24;0.3025895259438247
4;25;0.35057616327095736
5;1;0.25293343480382124
5;2;0.257695339565726
5;3;0.257695339565726
5;4;0.2631898450602315
5;5;0.2631898450602315
5;6;0.3736530863478804
5;7;0.3206349102799527
5;8;0.31422465386969634
5;9;0.37946693683160504
5;10;0.42207125295669146
5;11;0.3645621772569714
5;12;0.3282106678557103
5;13;0.30873014837519086
5;14;0.3736530863478804
5;15;0.33730157694661944
5;16;0.35698641968121375
5;17;0.3736530863478804
5;18;0.3645621772569714
5;19;0.2950137683680671
5;20;0.3645621772569714
5;21;0.4311621620476006
5;22;0.31422465386969634
5;23;0.3025895259438247
5;24;0.42207125295669146
5;25;0.30873014837519086
6;1;0.25293343480382124
6;2;0.257695339565726
6;3;0.257695339565726
6;4;0.2631898450602315
6;5;0.2631898450602315
6;6;0.3645621772569714
6;7;0.35057616327095736
6;8;0.3282106678557103
6;9;0.39137169873636696
6;10;0.3736530863478804
6;11;0.37946693683160504
6;12;0.3645621772569714
6;13;0.3736530863478804
6;14;0.3736530863478804
6;15;0.4144954953809339
6;16;0.42207125295669146
6;17;0.3736530863478804
6;18;0.3645621772569714
6;19;0.3025895259438247
6;20;0.37946693683160504
6;21;0.5884559907681378
6;22;0.3736530863478804
6;23;0.3736530863478804
6;24;0.4311621620476006
6;25;0.3645621772569714
7;1;0.25293343480382124
7;2;0.257695339565726
7;3;0.257695339565726
7;4;0.2631898450602315
7;5;0.2631898450602315
7;6;0.5820457343578813
7;7;0.5820457343578813
7;8;0.5884559907681378
7;9;0.5884559907681378
7;10;0.3736530863478804
7;11;0.5884559907681378
7;12;0.3645621772569714
7;13;0.39137169873636696
7;14;0.2886035119578107
7;15;0.35698641968121375
7;16;0.4311621620476006
7;17;0.3645621772569714
7;18;0.39137169873636696
7;19;0.5884559907681378
7;20;0.3736530863478804
7;21;0.38496144232611057
7;22;0.4080852389706775
7;23;0.42207125295669146
7;24;0.4311621620476006
7;25;0.5884559907681378
8;1;0.25293343480382124
8;2;0.257695339565726
8;3;0.257695339565726
8;4;0.2631898450602315
8;5;0.2631898450602315
8;6;0.42207125295669146
8;7;0.35698641968121375
8;8;0.4144954953809339
8;9;0.5884559907681378
8;10;0.5884559907681378
8;11;0.35057616327095736
8;12;0.5884559907681378
8;13;0.5884559907681378
8;14;0.5820457343578813
8;15;0.5765512288633758
8;16;0.35698641968121375
8;17;0.35698641968121375
8;18;0.4144954953809339
8;19;0.37946693683160504
8;20;0.5884559907681378
8;21;0.5765512288633758
8;22;0.3645621772569714
8;23;0.5884559907681378
8;24;0.5884559907681378
8;25;0.35057616327095736
9;1;0.25293343480382124
9;2;0.257695339565726
9;3;0.257695339565726
9;4;0.2631898450602315
9;5;0.2631898450602315
9;6;0.35057616327095736
9;7;0.5884559907681378
9;8;0.5884559907681378
9;9;0.5884559907681378
9;10;0.5884559907681378
9;11;0.5884559907681378
9;12;0.5820457343578813
9;13;0.5884559907681378
9;14;0.5884559907681378
9;15;0.5884559907681378
9;16;0.3645621772569714
9;17;0.5884559907681378
9;18;0.5884559907681378
9;19;0.5884559907681378
9;20;0.5884559907681378
9;21;0.5884559907681378
9;22;0.34508165777645183
9;23;0.5960317483438954
9;24;0.4080852389706775
9;25;0.5960317483438954
10;1;0.25293343480382124
10;2;0.257695339565726
10;3;0.257695339565726
10;4;0.2631898450602315
10;5;0.2631898450602315
10;6;0.3403197530145471
10;7;0.5960317483438954
10;8;0.5884559907681378
10;9;0.3645621772569714
10;10;0.4144954953809339
10;11;0.5960317483438954
10;12;0.3736530863478804
10;13;0.5884559907681378
10;14;0.35057616327095736
10;15;0.5884559907681378
10;16;0.5884559907681378
10;17;0.5960317483438954
10;18;0.5960317483438954
10;19;0.5884559907681378
10;20;0.5884559907681378
10;21;0.5960317483438954
10;22;0.5884559907681378
10;23;0.5884559907681378
10;24;0.5884559907681378
10;25;0.5884559907681378
11;1;0.25293343480382124
11;2;0.257695339565726
11;3;0.257695339565726
11;4;0.2631898450602315
11;5;0.2631898450602315
11;6;0.5960317483438954
11;7;0.5960317483438954
11;8;0.5960317483438954
11;9;0.42207125295669146
11;10;0.5960317483438954
11;11;0.35057616327095736
11;12;0.5960317483438954
11;13;0.5960317483438954
11;14;0.5960317483438954
11;15;0.5960317483438954
11;16;0.5884559907681378
11;17;0.5884559907681378
11;18;0.35057616327095736
11;19;0.5820457343578813
11;20;0.5884559907681378
11;21;0.5960317483438954
11;22;0.5960317483438954
11;23;0.5960317483438954
11;24;0.5884559907681378
11;25;0.5960317483438954
12;1;0.25293343480382124
12;2;0.257695339565726
12;3;0.257695339565726
12;4;0.2631898450602315
12;5;0.2631898450602315
12;6;0.3206349102799527
12;7;0.5960317483438954
12;8;0.5960317483438954
12;9;0.5960317483438954
12;10;0.5960317483438954
12;11;0.5960317483438954
12;12;0.5960317483438954
12;13;0.5960317483438954
12;14;0.3206410008209235
12;15;0.5960317483438954
12;16;0.5960317483438954
12;17;0.5960317483438954
12;18;0.5884559907681378
12;19;0.5960317483438954
12;20;0.5960317483438954
12;21;0.5960317483438954
12;22;0.35698641968121375
12;23;0.30397433415425684
12;24;0.5960317483438954
12;25;0.5960317483438954
13;1;0.25293343480382124
13;2;0.257695339565726
13;3;0.257695339565726
13;4;0.2631898450602315
13;5;0.2631898450602315
13;6;0.35057616327095736
13;7;0.5960317483438954
